,title,content
9999995,“개천절 집회 허용 판사를 탄핵하라”…靑 국민청원글 올라와,일부 보수단체들의 개천절 집회를 하루 앞둔 2일 청와대 국민청원 게시판에 ‘드라이브 스루’ 집회를 조건부로 허용한 판사를 탄핵하자는 청원글이 올라왔다.
9999995,‘특전부자·특전부부’ 가을 하늘을 날다,"특전부대 소속 아버지와 아들, 신혼부부가 강하 훈련에 함께 참가했다."
9999995,부산 다대포해수욕장서 중학생 1명 사망·1명 실종...2명 구조,중학생들이 폐장한 해수욕장에 들어갔다가 1명이 숨지고 1명이 실종됐습니다.
9999995,“트럼프·바이든 누가 되든 자국우선주의 불변”,미국 조 바이든 민주당 대선 후보의 통상공약은 도널드 트럼프 대통령과 크게 차별화되지 않지만 당선될 경우 환경과 노동 분야가 새로운 통상 이슈로 부각될 수 있다는 분석이 나왔다.
9999995,"IMF ""올해 한국 성장률 전망 -1.9%""",국제통화기금 IMF가 올해 우리나라 경제성장률을 -1.9%로 전망했습니다.
9999995,"6조 원 대 광주시 금고, 광주은행으로 결정",광주은행이 한 해 6조 원에 가까운 광주시의 예산을 운영하는 시금고에 선정됐습니다.
9999995,“2025년부터 채무비율 60% 이내 관리”…재정준칙 논란,"정부가 2025년부터 국내총생산 대비 국가채무비율은 60%, 통합재정수지는 -3%가 넘지 않도록 관리하는 재정준칙을 발표했다."
9999995,고속도로 정체 대부분 해소… 서울→부산 4시간 30분,추석 고속도로 정체가 대부분 해소됐다.
9999995,"천연기념물 정이품송 후계목, 수목장 조성 활용 주목",600여 년을 버텨온 천연기념물인 속리산 정이품송의 대를 이을 후계목 육성이 한창인데요.
9999995,"심상정 ""삼성 유령 언론사 만들었나...수사해야""",심상정 정의당 대표는 삼성전자 임원이 출입기자로 등록해 국회에 출입한 것과 관련해 1급 국가보안시설인 국회가 삼성에 의해 유린된 것에 참담하다고 밝혔습니다.
9999995,② 지역균형 뉴딜 선회…공공기관 시즌2 언제?,"대전, 충남이 혁신도시로 지정되면서 무엇보다 가장 큰 관심사는  '2차 공공기관 이전' 문제일텐데요."
9999995,"박영선, 현대차의 중고차 매매업 진출 둘러싼 갈등 관련 ""정의선 회장 상생에 관심 많다""",박영선 중소벤처기업부 장관은 15일 현대자동차의 중고차 매매업 진출을 둘러싼 갈등을 풀기 위해 현대자동차그룹 정의선 신임 회장을 만날 뜻을 피력했다.
9999995,"금감원, '라임 판매' 신한·대신·KB증권 제재심 결론 연기","금융감독원 제재심의위원회가 신한금융투자, 대신증권, KB증권 등 라임 펀드 판매 증권사에 대한 징계 조치를 결정하지 못했다."
9999995," 文 ""나도 마음이 아프다""...군·해경, 조명탄도 없이 야간 수색",북한군 총격에 피살된 해양수산부 공무원의 아들이 문재인 대통령에게 쓴 편지가 공개됐습니다.
9999995,"검찰, 이용호 의원 선거법 위반 기소",전주지검 남원지청은 무소속 이용호 의원을 선거법 위반 혐의로 불구속 기소했습니다.
